date,dji
2018-01-02,1000000.0
2018-01-03,1003974.7777577672
2018-01-04,1010116.0568385588
2018-01-05,1019008.1851987267
2018-01-08,1018489.7701341782
2018-01-09,1022630.9536988233
2018-01-10,1021959.4295561734
2018-01-11,1030241.7180065953
2018-01-12,1039444.8639339451
2018-01-16,1039028.7313984467
2018-01-17,1052031.9093166243
2018-01-18,1048090.5700779699
2018-01-19,1050262.2642063156
2018-01-22,1056017.938152587
2018-01-23,1055865.3011476966
2018-01-24,1057529.359216478
2018-01-25,1063196.0473624757
2018-01-26,1072216.4222782992
2018-01-29,1065076.9443928443
2018-01-30,1050470.5271712358
2018-01-31,1053391.0867699673
2018-02-01,1054894.4825892712
2018-02-02,1028075.6887567819
2018-02-05,980733.9841491978
2018-02-06,1003575.5611789965
2018-02-07,1002793.2571894979
2018-02-08,961184.803050663
2018-02-09,974496.0874178878
2018-02-12,991027.2257996192
2018-02-13,992605.5239017354
2018-02-14,1002798.92206803
2018-02-15,1015161.1032445356
2018-02-16,1015926.9633505177
2018-02-20,1005669.5205852637
2018-02-21,998943.3427960408
2018-02-22,1005578.0957400664
2018-02-23,1019577.0334179839
2018-02-26,1035661.4331843705
2018-02-27,1023606.9650625698
2018-02-28,1008265.7658880369
2018-03-01,991337.8499724584
2018-03-02,988480.9415783437
2018-03-05,1002044.3917191119
2018-03-06,1002421.4208569655
2018-03-07,999087.5611620019
2018-03-08,1002868.2381511789
2018-03-09,1020614.3356202919
2018-03-12,1014284.5419705737
2018-03-13,1007372.68205169
2018-03-14,997345.6896922735
2018-03-15,1002000.0955161463
2018-03-16,1004934.7386323393
2018-03-19,991415.5846945368
2018-03-20,996102.9569643112
2018-03-21,994291.8480903025
2018-03-22,965109.6197269324
2018-03-23,948001.5292024881
2018-03-26,974967.3738402046
2018-03-27,961074.0232038145
2018-03-28,960699.7478263585
2018-03-29,970959.5509576674
2018-04-02,952472.6132627552
2018-04-03,968149.7712057844
2018-04-04,977452.9179749979
2018-04-05,987158.0350833795
2018-04-06,964097.2587259389
2018-04-09,965963.9935599773
2018-04-10,983241.6370460396
2018-04-11,974437.6290185921
2018-04-12,986264.9512470325
2018-04-13,981313.690052308
2018-04-16,989890.0014343158
2018-04-17,998494.2438146411
2018-04-18,996940.8869138395
2018-04-19,993590.1112621484
2018-04-20,985454.7949380849
2018-04-23,984880.7539135066
2018-04-24,967778.0135521203
2018-04-25,970182.9118467008
2018-04-26,979790.9392313531
2018-04-27,979341.7615710848
2018-04-30,973378.2180542354
2018-05-01,970796.0562689237
2018-05-02,963783.8807927022
2018-05-03,963992.1437576226
2018-05-04,977380.7694525832
2018-05-07,981200.0777661937
2018-05-08,981316.522491574
2018-05-09,988661.3522238149
2018-05-10,996596.8242218876
2018-05-11,1000288.436731922
2018-05-14,1003037.3977184544
2018-05-15,995262.6666487278
2018-05-16,997781.1772294228
2018-05-17,995567.625943035
2018-05-18,995612.3155403433
2018-05-21,1007624.8478252335
2018-05-22,1000418.9649747642
2018-05-23,1002529.8403377589
2018-05-24,999506.5261367661
2018-05-25,997143.0916058853
2018-05-29,981366.4048942032
2018-05-30,993706.4773086603
2018-05-31,983557.4540241999
2018-06-01,992394.5071764176
2018-06-04,999584.2608588444
2018-06-05,999032.0138808407
2018-06-06,1012986.6553557925
2018-06-07,1016814.3823083326
2018-06-08,1019840.450269723
2018-06-11,1020073.339720484
2018-06-12,1020009.6885158671
2018-06-13,1015194.5417636483
2018-06-14,1014151.6533616766
2018-06-15,1010734.3940661027
2018-06-18,1006584.791862528
2018-06-19,995012.9399201078
2018-06-20,993304.5069694922
2018-06-21,985404.8338565872
