,date,dji
0,2018-01-02,1000000.0
1,2018-01-03,1003974.7777577672
2,2018-01-04,1010116.0568385588
3,2018-01-05,1019008.1851987267
4,2018-01-08,1018489.7701341782
5,2018-01-09,1022630.9536988233
6,2018-01-10,1021959.4295561734
7,2018-01-11,1030241.7180065953
8,2018-01-12,1039444.8639339451
9,2018-01-16,1039028.7313984467
10,2018-01-17,1052031.9093166243
11,2018-01-18,1048090.5700779699
12,2018-01-19,1050262.2642063156
13,2018-01-22,1056017.938152587
14,2018-01-23,1055865.3011476966
15,2018-01-24,1057529.359216478
16,2018-01-25,1063196.0473624757
17,2018-01-26,1072216.4222782992
18,2018-01-29,1065076.9443928443
19,2018-01-30,1050470.5271712358
20,2018-01-31,1053391.0867699673
21,2018-02-01,1054894.4825892712
22,2018-02-02,1028075.6887567819
23,2018-02-05,980733.9841491978
24,2018-02-06,1003575.5611789965
25,2018-02-07,1002793.2571894979
26,2018-02-08,961184.803050663
27,2018-02-09,974496.0874178878
28,2018-02-12,991027.2257996192
29,2018-02-13,992605.5239017354
30,2018-02-14,1002798.92206803
31,2018-02-15,1015161.1032445356
32,2018-02-16,1015926.9633505177
33,2018-02-20,1005669.5205852637
34,2018-02-21,998943.3427960408
35,2018-02-22,1005578.0957400664
36,2018-02-23,1019577.0334179839
37,2018-02-26,1035661.4331843705
38,2018-02-27,1023606.9650625698
39,2018-02-28,1008265.7658880369
40,2018-03-01,991337.8499724584
41,2018-03-02,988480.9415783437
42,2018-03-05,1002044.3917191119
43,2018-03-06,1002421.4208569655
44,2018-03-07,999087.5611620019
45,2018-03-08,1002868.2381511789
46,2018-03-09,1020614.3356202919
47,2018-03-12,1014284.5419705737
48,2018-03-13,1007372.68205169
49,2018-03-14,997345.6896922735
50,2018-03-15,1002000.0955161463
51,2018-03-16,1004934.7386323393
52,2018-03-19,991415.5846945368
53,2018-03-20,996102.9569643112
54,2018-03-21,994291.8480903025
55,2018-03-22,965109.6197269324
56,2018-03-23,948001.5292024881
57,2018-03-26,974967.3738402046
58,2018-03-27,961074.0232038145
59,2018-03-28,960699.7478263585
60,2018-03-29,970959.5509576674
61,2018-04-02,952472.6132627552
62,2018-04-03,968149.7712057844
63,2018-04-04,977452.9179749979
64,2018-04-05,987158.0350833795
65,2018-04-06,964097.2587259389
66,2018-04-09,965963.9935599773
67,2018-04-10,983241.6370460396
68,2018-04-11,974437.6290185921
69,2018-04-12,986264.9512470325
70,2018-04-13,981313.690052308
71,2018-04-16,989890.0014343158
72,2018-04-17,998494.2438146411
73,2018-04-18,996940.8869138395
74,2018-04-19,993590.1112621484
75,2018-04-20,985454.7949380849
76,2018-04-23,984880.7539135066
77,2018-04-24,967778.0135521203
78,2018-04-25,970182.9118467008
79,2018-04-26,979790.9392313531
80,2018-04-27,979341.7615710848
81,2018-04-30,973378.2180542354
82,2018-05-01,970796.0562689237
83,2018-05-02,963783.8807927022
84,2018-05-03,963992.1437576226
85,2018-05-04,977380.7694525832
86,2018-05-07,981200.0777661937
87,2018-05-08,981316.522491574
88,2018-05-09,988661.3522238149
89,2018-05-10,996596.8242218876
90,2018-05-11,1000288.436731922
91,2018-05-14,1003037.3977184544
92,2018-05-15,995262.6666487278
93,2018-05-16,997781.1772294228
94,2018-05-17,995567.625943035
95,2018-05-18,995612.3155403433
96,2018-05-21,1007624.8478252335
97,2018-05-22,1000418.9649747642
98,2018-05-23,1002529.8403377589
99,2018-05-24,999506.5261367661
100,2018-05-25,997143.0916058853
101,2018-05-29,981366.4048942032
102,2018-05-30,993706.4773086603
103,2018-05-31,983557.4540241999
104,2018-06-01,992394.5071764176
105,2018-06-04,999584.2608588444
106,2018-06-05,999032.0138808407
107,2018-06-06,1012986.6553557925
108,2018-06-07,1016814.3823083326
109,2018-06-08,1019840.450269723
110,2018-06-11,1020073.339720484
111,2018-06-12,1020009.6885158671
112,2018-06-13,1015194.5417636483
113,2018-06-14,1014151.6533616766
114,2018-06-15,1010734.3940661027
115,2018-06-18,1006584.791862528
116,2018-06-19,995012.9399201078
117,2018-06-20,993304.5069694922
118,2018-06-21,985404.8338565872
119,2018-06-22,990206.290485687
120,2018-06-25,976989.6567972681
121,2018-06-26,978210.5954786559
122,2018-06-27,971542.8760887287
123,2018-06-28,975509.2352075663
124,2018-06-29,977739.309056339
125,2018-07-02,979180.2338540538
126,2018-07-03,973848.3242935247
127,2018-07-05,981176.710142249
128,2018-07-06,985194.6039199543
129,2018-07-09,998089.755751681
130,2018-07-10,1003853.1402270657
131,2018-07-11,995022.538742065
132,2018-07-12,1004063.8422369094
133,2018-07-13,1007871.4273991134
134,2018-07-16,1009682.1428787794
135,2018-07-17,1011919.1404679804
136,2018-07-18,1015117.5938302547
137,2018-07-19,1009687.8077573115
138,2018-07-20,1009430.763893921
139,2018-07-23,1008873.6388260704
140,2018-07-24,1016835.7042816962
141,2018-07-25,1023770.9318245245
142,2018-07-26,1028321.7962574507
143,2018-07-27,1025259.8507320243
144,2018-07-30,1019449.7310087505
145,2018-07-31,1023814.8346331475
146,2018-08-01,1020536.9942925562
147,2018-08-02,1020228.4157702979
148,2018-08-03,1025723.8986984391
149,2018-08-06,1027319.1127572829
150,2018-08-07,1032424.269818794
151,2018-08-08,1030605.0570213299
152,2018-08-09,1027603.143472569
153,2018-08-10,1019703.9424328749
154,2018-08-13,1014650.7134245741
155,2018-08-14,1019171.3651719963
156,2018-08-15,1013631.979435232
157,2018-08-16,1029597.1807158408
158,2018-08-17,1034052.1356080654
159,2018-08-20,1037652.2445940339
160,2018-08-21,1040214.2645890096
161,2018-08-22,1036641.5358492789
162,2018-08-23,1033555.0425168804
163,2018-08-24,1038927.6290524239
164,2018-08-27,1049372.7995979195
165,2018-08-28,1049952.0334278187
166,2018-08-29,1052391.2357090653
167,2018-08-30,1046846.1850937691
168,2018-08-31,1045955.9336966882
169,2018-09-04,1045458.8406055032
170,2018-09-05,1046365.6145649691
171,2018-09-06,1047206.6916692376
172,2018-09-07,1044010.9920673603
173,2018-09-10,1041615.3778792629
174,2018-09-11,1046207.3126815466
175,2018-09-12,1047329.5880618349
176,2018-09-13,1053254.1068599082
177,2018-09-14,1053603.7557515237
178,2018-09-17,1049875.478888768
179,2018-09-18,1057321.5683247687
180,2018-09-19,1063718.5537281863
181,2018-09-20,1073838.6231890386
182,2018-09-21,1077323.9397058655
183,2018-09-24,1070014.5154644495
184,2018-09-25,1067201.1164846155
185,2018-09-26,1062893.5271130921
186,2018-09-27,1065095.0405325994
187,2018-09-28,1065835.4873640556
188,2018-10-01,1073606.205811489
189,2018-10-02,1078550.1498714427
190,2018-10-03,1080743.638046363
191,2018-10-04,1072650.25755921
192,2018-10-05,1065381.9036871514
193,2018-10-08,1066982.3105513162
194,2018-10-09,1064718.011394746
195,2018-10-10,1031208.9173370695
196,2018-10-11,1009217.7015180221
197,2018-10-12,1020785.5408381488
198,2018-10-15,1017182.599412914
199,2018-10-16,1039252.7301370673
200,2018-10-17,1035557.1050047391
201,2018-10-18,1022375.0900184605
202,2018-10-19,1024989.1167455148
203,2018-10-22,1019875.9344394166
204,2018-10-23,1014800.9900634097
205,2018-10-24,990308.179620395
206,2018-10-25,1006467.1669541198
207,2018-10-26,994533.5495743355
208,2018-10-29,984648.3365359566
209,2018-10-30,1002039.5923081336
210,2018-10-31,1011752.7346611022
211,2018-11-01,1022427.0967505391
212,2018-11-02,1017999.5221045528
213,2018-11-05,1025688.4145287455
214,2018-11-06,1032669.9839251203
215,2018-11-07,1054636.2585428532
216,2018-11-08,1055076.1520966385
217,2018-11-09,1046942.094634471
218,2018-11-12,1022686.5009799846
219,2018-11-13,1018630.3692721883
220,2018-11-14,1010332.3450480661
221,2018-11-15,1018742.3293020641
222,2018-11-16,1023735.5263336994
223,2018-11-19,1007792.0404207965
224,2018-11-20,985563.6078132207
225,2018-11-21,985525.2912042611
226,2018-11-23,978324.9945534554
227,2018-11-26,992597.1052628058
228,2018-11-27,996967.4803713926
229,2018-11-28,1021850.6166810372
230,2018-11-29,1020739.198984602
231,2018-11-30,1028780.6514185447
232,2018-12-03,1040381.0637902302
233,2018-12-04,1008180.0059213717
234,2018-12-06,1004981.4738802285
235,2018-12-07,982474.2033626876
236,2018-12-10,983856.3550456325
237,2018-12-11,981720.5384813232
238,2018-12-12,988046.2408298795
239,2018-12-13,990870.5761724351
240,2018-12-14,970854.8293836935
241,2018-12-17,950409.7320095456
242,2018-12-18,953739.5790822158
243,2018-12-19,939560.545474301
244,2018-12-20,920866.524997496
245,2018-12-21,904179.8384927395
246,2018-12-24,877867.8152522605
247,2018-12-26,921625.8547573925
248,2018-12-27,932114.5347171688
249,2018-12-28,929036.0666293572
250,2018-12-31,939713.6545524027
251,2019-01-02,940470.151873033
252,2019-01-03,913882.2018407235
253,2019-01-04,943971.5975579023
254,2019-01-07,947927.0203140185
255,2019-01-08,958243.6295883844
256,2019-01-09,961936.4222814464
257,2019-01-10,966883.2774595348
258,2019-01-11,966642.7561585294
259,2019-01-14,963173.9622040878
260,2019-01-15,969448.1298937765
261,2019-01-16,975151.0889981529
262,2019-01-17,981714.8736027912
263,2019-01-18,995260.2276038044
264,2019-01-22,983099.8577250021
265,2019-01-23,989993.9362196047
266,2019-01-24,989092.4337443281
267,2019-01-25,996502.9603317667
268,2019-01-28,988084.5574388391
269,2019-01-29,990168.8393442809
270,2019-01-30,1007688.1056355078
271,2019-01-31,1007076.2200751809
272,2019-02-01,1009663.2599503394
273,2019-02-04,1016732.1628907498
274,2019-02-05,1023666.9970392355
275,2019-02-06,1022812.229811848
276,2019-02-07,1013918.7639109157
277,2019-02-08,1011372.8730839826
278,2019-02-11,1009228.9525962177
279,2019-02-12,1024240.6446694712
280,2019-02-13,1028974.3587927924
281,2019-02-14,1024789.744492735
282,2019-02-15,1042669.9894326412
283,2019-02-19,1042995.0905172845
284,2019-02-20,1045537.7555106089
285,2019-02-21,1041355.9736498175
286,2019-02-22,1048654.5402073802
287,2019-02-25,1051077.141247373
288,2019-02-26,1049708.7583664157
289,2019-02-27,1046775.2954332504
290,2019-02-28,1043989.2766996544
291,2019-03-01,1048433.3739080258
292,2019-03-04,1040107.9694376655
293,2019-03-05,1039583.4961002426
294,2019-03-06,1034218.934809286
295,2019-03-07,1026152.9345683713
296,2019-03-08,1025226.8056072543
297,2019-03-11,1033309.3284105539
298,2019-03-12,1029433.2139538862
299,2019-03-13,1035404.4679998487
300,2019-03-14,1035688.4200362662
301,2019-03-15,1041285.0053104303
302,2019-03-18,1043912.7221606035
303,2019-03-19,1042836.3952395194
304,2019-03-20,1037127.771256611
305,2019-03-21,1045862.8565952522
306,2019-03-22,1027324.777635815
307,2019-03-25,1027909.2829499037
308,2019-03-26,1033585.2552023845
309,2019-03-27,1032290.5157423434
310,2019-03-28,1035991.412358861
311,2019-03-29,1044500.0599139584
312,2019-04-01,1057783.17724626
313,2019-04-02,1054589.1299006215
314,2019-04-03,1056160.1895468358
315,2019-04-04,1062867.40572875
316,2019-04-05,1064493.2258674405
317,2019-04-08,1061110.5852740067
318,2019-04-09,1053439.002200884
319,2019-04-10,1053704.0713088615
320,2019-04-11,1053135.6951628153
321,2019-04-12,1063982.049258794
322,2019-04-15,1062872.9919284137
323,2019-04-16,1065607.8693974842
324,2019-04-17,1065482.1405656207
325,2019-04-18,1069913.3344395582
326,2019-04-22,1067960.0528501696
327,2019-04-23,1073814.8621707514
328,2019-04-24,1071424.4407879752
329,2019-04-25,1065987.3375802613
330,2019-04-26,1069260.3785098742
331,2019-04-29,1069705.9369421916
332,2019-04-30,1071257.6415867545
333,2019-05-01,1064700.7020436758
334,2019-05-02,1059771.9430053423
335,2019-05-03,1067714.2600649744
336,2019-05-06,1065036.6608121719
337,2019-05-07,1045966.791380541
338,2019-05-08,1046057.036042711
339,2019-05-09,1040458.7985123084
340,2019-05-10,1045051.520103277
341,2019-05-13,1020181.2871280662
342,2019-05-14,1028522.4273721265
343,2019-05-15,1033194.0638682009
344,2019-05-16,1041841.3435895959
345,2019-05-17,1037866.1724374862
346,2019-05-20,1034478.3390387315
347,2019-05-21,1042431.5137822167
348,2019-05-22,1038374.1232125243
349,2019-05-23,1026847.4329406234
350,2019-05-24,1030683.1851377505
351,2019-05-28,1021098.9187713854
352,2019-05-29,1012181.7705310343
353,2019-05-30,1013932.9261072458
354,2019-05-31,999638.6279569782
355,2019-06-03,999829.5815708283
356,2019-06-04,1020470.904043016
357,2019-06-05,1028825.3410158528
358,2019-06-06,1036120.2883454643
359,2019-06-07,1046726.1211404375
360,2019-06-10,1049898.0597240275
361,2019-06-11,1049327.244533058
362,2019-06-12,1047567.6703179169
363,2019-06-13,1051674.1565015535
364,2019-06-14,1050982.88396291
365,2019-06-17,1051906.180484761
366,2019-06-18,1066126.6778563755
367,2019-06-19,1067676.0221348833
368,2019-06-20,1077713.4787838103
