date,ensemble,dji
2018-01-02,1000000.0,1000000.0
2018-01-03,1002809.7523925784,1003974.7777577672
2018-01-04,1007755.1958489992,1010116.0568385588
2018-01-05,1013057.1528802492,1019008.1851987267
2018-01-08,1013965.3020501712,1018489.7701341782
2018-01-09,1014211.0287347414,1022630.9536988233
2018-01-10,1013254.5210443116,1021959.4295561734
2018-01-11,1022805.5349603272,1030241.7180065953
2018-01-12,1028769.8687005616,1039444.8639339451
2018-01-16,1023727.9712396242,1039028.7313984467
2018-01-17,1031997.4520745852,1052031.9093166243
2018-01-18,1028603.4895501712,1048090.5700779699
2018-01-19,1035211.929369507,1050262.2642063156
2018-01-22,1041572.7135491944,1056017.938152587
2018-01-23,1042386.4402337648,1055865.3011476966
2018-01-24,1043646.3635736086,1057529.359216478
2018-01-25,1043961.066088257,1063196.0473624757
2018-01-26,1052702.596972046,1072216.4222782992
2018-01-29,1044373.7452874758,1065076.9443928443
2018-01-30,1033104.7306390384,1050470.5271712358
2018-01-31,1031806.4768548586,1053391.0867699673
2018-02-01,1033220.7831292726,1054894.4825892712
2018-02-02,1010582.6780267336,1028075.6887567819
2018-02-05,1009572.7614901124,980733.9841491978
2018-02-06,1009572.7614901124,1003575.5611789965
2018-02-07,1009572.7614901124,1002793.2571894979
2018-02-08,975964.595595093,961184.803050663
2018-02-09,974989.3058548586,974496.0874178878
2018-02-12,985621.1215281984,991027.2257996192
2018-02-13,986990.1684031984,992605.5239017354
2018-02-14,1001210.3554149172,1002798.92206803
2018-02-15,1010103.0888133548,1015161.1032445356
2018-02-16,1011875.4940867922,1015926.9633505177
2018-02-20,1003186.9745555422,1005669.5205852637
2018-02-21,998880.460395386,998943.3427960408
2018-02-22,999757.8246531984,1005578.0957400664
2018-02-23,1013180.9032664796,1019577.0334179839
2018-02-26,1021902.6190867922,1035661.4331843705
2018-02-27,1007619.0849071048,1023606.9650625698
2018-02-28,994159.5277781984,1008265.7658880369
2018-03-01,984729.0082469484,991337.8499724584
2018-03-02,989975.4657664796,988480.9415783437
2018-03-05,999437.161567261,1002044.3917191119
2018-03-06,1003736.0297313236,1002421.4208569655
2018-03-07,1004085.5331492922,999087.5611620019
2018-03-08,1006368.827582886,1002868.2381511789
2018-03-09,1020490.1879344484,1020614.3356202919
2018-03-12,1019561.9872508548,1014284.5419705737
2018-03-13,1014184.7504344484,1007372.68205169
2018-03-14,1008837.2665477296,997345.6896922735
2018-03-15,1006795.2587352296,1002000.0955161463
2018-03-16,1010429.9477000736,1004934.7386323393
2018-03-19,999969.839301636,991415.5846945368
2018-03-20,1000778.7558055422,996102.9569643112
2018-03-21,1002976.675239136,994291.8480903025
2018-03-22,979034.632270386,965109.6197269324
2018-03-23,962302.1142039796,948001.5292024881
2018-03-26,982753.698676636,974967.3738402046
2018-03-27,970906.683051636,961074.0232038145
2018-03-28,971212.8944774172,960699.7478263585
2018-03-29,982415.6229930422,970959.5509576674
2018-04-02,962999.216254761,952472.6132627552
2018-04-03,974956.1586375736,968149.7712057844
2018-04-04,983567.061957886,977452.9179749979
2018-04-05,991690.8593211672,987158.0350833795
