account_rewards,date
-7862.9185791015625,2020-07-06
7934.997906250181,2020-07-07
-4742.3022633055225,2020-07-08
15883.08182885754,2020-07-09
-10374.014236694202,2020-07-10
10502.028245727532,2020-07-13
-1337.8064018555451,2020-07-14
0.0,2020-07-15
4027.740814697463,2020-07-16
1078.834231445333,2020-07-17
9009.721898681717,2020-07-20
2416.343501709169,2020-07-21
-18041.08735058573,2020-07-22
-6323.424351562746,2020-07-23
13885.34292651387,2020-07-24
-8354.78839172353,2020-07-27
16448.762290038867,2020-07-28
-5447.6056352537125,2020-07-29
10308.66064453125,2020-07-30
9724.85595703125,2020-07-31
4926.5595703125,2020-08-03
8801.64404296875,2020-08-04
8855.41552734375,2020-08-05
877.728515625,2020-08-06
3804.6357421875,2020-08-07
-11086.93212890625,2020-08-10
19317.3046875,2020-08-11
-2864.94873046875,2020-08-12
-240.05126953125,2020-08-13
3783.91552734375,2020-08-14
3225.076171875,2020-08-17
-6180.99169921875,2020-08-18
4413.20361328125,2020-08-19
4823.0595703125,2020-08-20
14125.728515625,2020-08-21
5108.79638671875,2020-08-24
14535.4833984375,2020-08-25
2409.50830078125,2020-08-26
9712.423828125,2020-08-27
-3187.77978515625,2020-08-28
10904.6953125,2020-08-31
22434.73681640625,2020-09-01
-52072.93212890625,2020-09-02
-11633.4404296875,2020-09-03
-39379.62744140625,2020-09-04
27787.62744140625,2020-09-08
-24744.7880859375,2020-09-09
736.93212890625,2020-09-10
17624.00830078125,2020-09-11
7311.20361328125,2020-09-14
-6503.923828125,2020-09-15
-11790.7119140625,2020-09-16
-15541.576171875,2020-09-17
-15901.70361328125,2020-09-18
-1358.3588642578106,2020-09-21
0.0,2020-09-22
1040.3983691406902,2020-09-23
6916.7260991211515,2020-09-24
24997.074659545906,2020-09-25
-4998.287166747963,2020-09-28
12116.05190673843,2020-09-29
5829.673492187401,2020-09-30
