account_value,date,daily_return
1003331.0905341809,2019-10-03,
1014847.7321357434,2019-10-04,0.011478405992014995
1010596.7760810559,2019-10-07,-0.0041887624321151895
995837.1999091809,2019-10-08,-0.014604812246789889
1003756.9499091809,2019-10-09,0.007952856150304832
1009669.2975654309,2019-10-10,0.005890218400764091
1022381.9713935559,2019-10-11,0.01259092839485021
1019956.6559638684,2019-10-14,-0.0023722204592298013
1028632.4606513684,2019-10-15,0.008506052327587721
1027751.5797919934,2019-10-16,-0.0008563611329329701
1031254.5045966809,2019-10-17,0.003408338039622816
1028679.8297919934,2019-10-18,-0.0024966434504879453
1035155.5153388684,2019-10-21,0.006295141947309624
1033832.2653388684,2019-10-22,-0.0012783103411924124
1037192.0797919934,2019-10-23,0.0032498641856797406
1037548.4284248059,2019-10-24,0.00034357053023770234
1039708.2760810559,2019-10-25,0.0020816837046624403
1042883.2428779309,2019-10-28,0.0030537092662590304
1044716.0583076184,2019-10-29,0.0017574502632045075
1047432.0690498059,2019-10-30,0.002599759734321694
1041728.2536201184,2019-10-31,-0.005445523006433972
1051876.5905341809,2019-11-01,0.009741827466804187
1056235.0915107434,2019-11-04,0.0041435478418139216
1054982.8952216809,2019-11-05,-0.0011855280127754941
1055929.3522529309,2019-11-06,0.0008971302146572047
1059403.7321357434,2019-11-07,0.003290352593570356
1060371.4821357434,2019-11-08,0.0009134855491297333
1058816.7868232434,2019-11-11,-0.0014661798612016774
1058777.2868232434,2019-11-12,-3.730579311889137e-05
1058574.2321357434,2019-11-13,-0.00019178224734051064
1059123.2975654309,2019-11-14,0.0005186839174988744
1067099.1344794934,2019-11-15,0.0075306028414219295
1066376.2536201184,2019-11-18,-0.0006774261509711055
1064996.9167060559,2019-11-19,-0.0012934805228266288
1061279.9821357434,2019-11-20,-0.003490089512943051
1060262.4713935559,2019-11-21,-0.0009587580650864957
1062990.3629951184,2019-11-22,0.002572845569057236
1070253.5797919934,2019-11-25,0.006832815281984317
1072372.3844794934,2019-11-26,0.0019797221214730154
1076157.2868232434,2019-11-27,0.003529466441442475
1071226.8844794934,2019-11-29,-0.004581488602195205
1063567.8190498059,2019-12-02,-0.007149806955609628
1057076.3952216809,2019-12-03,-0.006103441371443918
1064334.9059638684,2019-12-04,0.006866590508499026
1066256.9821357434,2019-12-05,0.001805894142064668
1074630.2106513684,2019-12-06,0.007852917876188803
1072005.8522529309,2019-12-09,-0.002442103685924457
1071234.7536201184,2019-12-10,-0.000719304499310347
1073968.9713935559,2019-12-11,0.0025523983087716307
1083250.6999091809,2019-12-12,0.00864245500834282
1083245.1452216809,2019-12-13,-5.1277949789652055e-06
1090972.1784248059,2019-12-16,0.007133226709771012
1090987.9167060559,2019-12-17,1.442592355815897e-05
1091292.8844794934,2019-12-18,0.0002795335940641852
1093857.2213935559,2019-12-19,0.0023498154808234695
1098406.0475654309,2019-12-20,0.004158519121974402
1099254.5260810559,2019-12-23,0.0007724634414618681
1098871.3297919934,2019-12-24,-0.0003485965078794395
1102448.4713935559,2019-12-26,0.003255287042787547
1102742.3297919934,2019-12-27,0.0002665506879120372
1097371.1784248059,2019-12-30,-0.0048707220373055415
1100284.6891669934,2019-12-31,0.002654991127404749
1107352.0260810559,2020-01-02,0.006423189365120541
