date,^DJI,^GSPC,^IXIC,^NYA,^RUT
2022-04-04,0,0,0,0,6
2022-04-05,0,100,-91,50,2
2022-04-06,0,100,-40,-50,8
2022-04-07,0,1,0,55,0
2022-04-08,0,100,0,-55,64
2022-04-11,0,2,0,20,0
2022-04-12,0,100,0,-20,-80
2022-04-13,0,0,0,0,23
2022-04-14,0,0,0,0,0
2022-04-18,0,0,0,0,0
2022-04-19,0,0,0,0,0
2022-04-20,0,0,0,0,0
2022-04-21,0,0,0,0,0
2022-04-22,0,0,0,0,0
2022-04-25,0,10,0,0,-23
2022-04-26,0,0,0,0,1
2022-04-27,0,0,0,0,0
2022-04-28,0,-16,0,0,36
2022-04-29,0,0,0,0,0
2022-05-02,0,0,0,0,0
2022-05-03,0,16,0,0,-37
2022-05-04,0,0,0,0,2
2022-05-05,0,0,0,0,0
2022-05-06,0,0,0,0,0
2022-05-09,0,-413,0,0,-2
2022-05-10,0,36,0,100,0
2022-05-11,0,100,19,-78,69
2022-05-12,0,1,0,17,100
2022-05-13,0,100,-19,-39,95
2022-05-16,0,23,0,0,86
2022-05-17,0,0,0,0,1
2022-05-18,0,0,0,0,0
2022-05-19,0,16,0,0,-36
2022-05-20,0,0,0,0,0
2022-05-23,0,0,0,0,0
2022-05-24,0,8,0,0,-18
2022-05-25,0,9,0,0,-21
2022-05-26,0,0,0,0,1
2022-05-27,0,0,0,0,0
2022-05-31,0,2,0,7,-64
2022-06-01,0,27,0,-7,0
2022-06-02,0,0,0,0,0
2022-06-03,0,45,0,0,-100
2022-06-06,0,0,0,0,2
2022-06-07,0,0,0,0,-1
2022-06-08,0,2,14,0,-95
2022-06-09,0,9,0,0,-19
2022-06-10,0,41,-14,0,0
2022-06-13,0,0,0,0,0
2022-06-14,0,0,0,0,0
2022-06-15,0,0,0,0,0
2022-06-16,0,0,0,0,0
2022-06-17,0,0,0,0,0
2022-06-21,0,0,0,0,0
2022-06-22,0,0,0,0,0
2022-06-23,0,-13,0,0,29
2022-06-24,0,0,0,0,0
2022-06-27,0,0,3,0,-21
2022-06-28,0,0,-3,0,21
2022-06-29,0,0,0,0,0
2022-06-30,0,13,0,0,-29
2022-07-01,0,0,0,0,0
